latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bedrooms,beds,baths,month,neighborhood_avgprice,last_review_month,last_review_year,neighgroup_Bronx,neighgroup_Brooklyn,neighgroup_Manhattan,neighgroup_Queens,neighgroup_Staten Island,roomtype_Entire home/apt,roomtype_Hotel room,roomtype_Private room,roomtype_Shared room,license_Exempt,license_Has License,license_No License,ratings_3.0,ratings_4.0,ratings_4.2,ratings_4.4,ratings_4.6,ratings_4.8,ratings_5,ratings_New,ratings_No rating,ratings_less3
40.6782079578601,-73.95278473749403,95.0,30,1,0.15,1,0,1,1,3,1.0,6,168.0,6,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.88353,-73.85161,123.0,30,27,1.86,1,365,16,1,1,1.0,10,99.0,10,2023,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40.73234627912838,-73.84721231911035,418.0,30,1,0.2,7,365,1,3,6,1.0,8,135.0,8,2023,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.67406,-73.76267,130.0,2,43,2.75,1,357,32,2,4,1.0,12,137.0,12,2023,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40.90341,-73.90199,130.0,30,46,0.68,1,150,0,1,2,1.0,12,161.0,12,2022,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.85532,-73.88953,191.0,30,40,2.45,3,365,29,2,2,1.0,9,120.0,9,2023,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.736906,-73.861374,60.0,30,12,0.94,1,203,11,0,2,1.0,7,84.0,7,2023,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.84208,-73.8911,120.0,30,5,0.26,6,348,2,2,3,1.0,12,88.0,12,2023,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.646408565462536,-73.95306680690926,460.0,2,6,2.17,5,214,6,5,9,3.5,1,160.0,1,2024,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40.64509,-73.94641,200.0,30,13,0.4,6,289,0,1,2,1.0,5,125.0,5,2022,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
